Age,Balance,CreditScore,EstimatedSalary,NumOfProducts,IsActiveMember,Zero_Balance,Balance_Salary_Ratio,Products_Bucket,Age_Inactive,Germany_HighBal,Geography,Gender,Exited
42,0.0,619,101348.88,1,1,1,0.0,0,0,0,France,Female,1
41,83807.86,608,112542.58,1,1,0,0.7446702868346644,0,0,0,Spain,Female,0
42,159660.8,502,113931.57,3,0,0,1.401362226797833,1,42,0,France,Female,1
39,0.0,699,93826.63,2,0,1,0.0,0,39,0,France,Female,0
43,125510.82,850,79084.1,1,1,0,1.5870349787760274,0,0,0,Spain,Female,0
44,113755.78,645,149756.71,2,0,0,0.7595988213227887,0,44,0,Spain,Male,1
50,0.0,822,10062.8,2,1,1,0.0,0,0,0,France,Male,0
29,115046.74,376,119346.88,4,0,0,0.9639613204692031,1,29,1,Germany,Female,1
44,142051.07,501,74940.5,2,1,0,1.8954927510124564,0,0,0,France,Male,0
27,134603.88,684,71725.73,1,1,0,1.8766208915421072,0,0,0,France,Male,0
31,102016.72,528,80181.12,2,0,0,1.2723125804106952,0,31,0,France,Male,0
24,0.0,497,76390.01,2,0,1,0.0,0,24,0,Spain,Male,0
34,0.0,476,26260.98,2,0,1,0.0,0,34,0,France,Female,0
25,0.0,549,190857.79,2,0,1,0.0,0,25,0,France,Female,0
35,0.0,635,65951.65,2,1,1,0.0,0,0,0,Spain,Female,0
45,143129.41,616,64327.26,2,1,0,2.224984944408569,0,0,1,Germany,Male,0
58,132602.88,653,5097.67,1,0,0,26.00734701402523,0,58,1,Germany,Male,1
24,0.0,549,14406.41,2,1,1,0.0,0,0,0,Spain,Female,0
45,0.0,587,158684.81,1,0,1,0.0,0,45,0,Spain,Male,0
24,0.0,726,54724.03,2,1,1,0.0,0,0,0,France,Female,0
41,0.0,732,170886.17,2,1,1,0.0,0,0,0,France,Male,0
32,0.0,636,138555.46,2,0,1,0.0,0,32,0,Spain,Female,0
38,0.0,510,118913.53,1,0,1,0.0,0,38,0,Spain,Female,1
46,0.0,669,8487.75,2,1,1,0.0,0,0,0,France,Male,0
38,0.0,846,187616.16,1,1,1,0.0,0,0,0,France,Female,0
25,0.0,577,124508.29,2,1,1,0.0,0,0,0,France,Male,0
36,136815.64,756,170041.95,1,1,0,0.8045946038927224,0,0,1,Germany,Male,0
44,0.0,571,38433.35,2,0,1,0.0,0,44,0,France,Male,0
43,141349.43,574,100187.43,1,1,0,1.4108358619852612,0,0,1,Germany,Female,0
29,59697.17,411,53483.21,2,1,0,1.116164378234249,0,0,0,France,Male,0
39,0.0,591,140469.38,3,0,1,0.0,1,39,0,Spain,Female,1
36,85311.7,533,156731.91,1,1,0,0.5443126143705237,0,0,0,France,Male,0
41,110112.54,553,81898.81,2,0,0,1.3444785769344276,0,41,1,Germany,Male,0
42,0.0,520,34410.55,2,1,1,0.0,0,0,0,Spain,Female,0
29,0.0,722,142033.07,2,1,1,0.0,0,0,0,Spain,Female,0
45,134264.04,475,27822.99,1,0,0,4.825477582474692,0,45,0,France,Female,1
31,145260.23,490,114066.77,1,1,0,1.2734555080720873,0,0,0,Spain,Male,0
33,76548.6,804,98453.45,1,1,0,0.7775026928696469,0,0,0,Spain,Male,0
36,0.0,850,40812.9,1,1,1,0.0,0,0,0,France,Male,0
41,70349.48,582,178074.04,2,1,0,0.3950552531112726,0,0,0,Germany,Male,0
40,0.0,472,70154.22,1,0,1,0.0,0,40,0,Spain,Male,0
51,122522.32,465,181297.65,1,0,0,0.6758038187267252,0,51,0,France,Female,1
61,117419.35,556,94153.83,1,1,0,1.2470879082889321,0,0,0,France,Female,0
49,131394.56,834,194365.76,1,0,0,0.6760135323550178,0,49,0,France,Female,1
61,155931.11,660,158338.39,1,1,0,0.9847903923338341,0,0,0,Spain,Female,0
32,109421.13,776,126517.46,2,1,0,0.8648629614998475,0,0,1,Germany,Female,0
27,112045.67,829,119708.21,1,1,0,0.9359820351333034,0,0,1,Germany,Female,1
39,137843.8,637,117622.8,1,1,0,1.171903985417917,0,0,1,Germany,Female,1
38,103391.38,550,90878.13,1,1,0,1.137680125238875,0,0,1,Germany,Male,0
37,103769.22,776,194099.12,2,0,0,0.5346169801440618,0,37,1,Germany,Female,0
44,116363.37,698,198059.16,2,0,0,0.5875152781861834,0,44,1,Germany,Male,0
36,146050.97,585,86424.57,2,0,0,1.6899046196629075,0,36,1,Germany,Male,0
33,0.0,788,116978.19,2,0,1,0.0,0,33,0,France,Female,0
41,125561.97,655,164040.94,1,0,0,0.76542602458859,0,41,1,Germany,Male,1
42,98495.72,601,40014.76,1,0,0,2.4614231992594915,0,42,1,Germany,Male,1
43,125211.92,619,113410.49,1,1,0,1.1040496866763676,0,0,0,France,Male,0
45,127864.4,656,87107.57,1,0,0,1.4678739416799058,0,45,0,France,Male,0
19,75888.2,725,45613.75,1,0,0,1.6636767712198357,0,19,0,Germany,Male,0
66,0.0,511,1643.11,1,0,1,0.0,0,66,0,Spain,Female,1
51,40685.92,614,46775.28,1,1,0,0.8697981113504537,0,0,0,France,Male,0
35,136857.0,742,84509.57,1,0,0,1.6194068978590488,0,35,1,Germany,Male,0
27,152328.88,687,126494.82,2,0,0,1.2042206612044573,0,27,1,Germany,Female,0
33,56084.69,555,178798.13,2,0,0,0.3136742891310489,0,33,0,Spain,Male,0
56,78707.16,684,99398.36,1,1,0,0.7918276334978415,0,0,0,Spain,Male,0
26,109166.37,603,92840.67,1,1,0,1.1758337608532892,0,0,1,Germany,Male,0
36,169831.46,751,27758.36,2,1,0,6.117989031447411,0,0,1,Germany,Female,0
34,101633.04,581,110431.51,1,0,0,0.9203181200898177,0,34,1,Germany,Female,0
43,123180.01,735,196673.28,2,1,0,0.6263147880851527,0,0,1,Germany,Male,0
35,150725.53,661,113656.85,2,1,0,1.3261339185986714,0,0,1,Germany,Female,0
21,98373.26,675,18203.0,1,0,0,5.403936497473082,0,21,0,France,Female,0
58,133745.44,738,28373.86,4,0,0,4.713518938948069,1,58,1,Germany,Male,1
29,0.0,813,33953.87,1,0,1,0.0,0,29,0,France,Male,0
37,163607.18,657,44203.55,1,1,0,3.701138909908595,0,0,0,Spain,Female,0
25,157780.84,604,58426.81,2,1,0,2.7004407661351677,0,0,1,Germany,Female,0
